headline,timestamp,link
"Stocks making the biggest moves midday: GameStop, Booz Allen, CVR Energy, CoreWeave & more",2026-01-27,https://www.cnbc.com/2026/01/26/stocks-making-the-biggest-moves-midday-gme-bah-cvi-crwv-.html
"Stocks making the biggest moves premarket: USA Rare Earth, Allied Gold, Enphase",2026-01-27,https://www.cnbc.com/2026/01/26/stocks-making-the-biggest-moves-premarket-usar-aauc-nem-enph.html
"China didn’t grab many headlines at Davos, but it's the elephant in the room",2026-01-27,https://www.cnbc.com/2026/01/26/china-isnt-grabbing-headlines-at-davos-but-its-the-elephant-in-the-room.html
Energy stocks to watch as major winter storm rips through the U.S.,2026-01-27,https://www.cnbc.com/2026/01/25/energy-stocks-to-watch-as-major-winter-storm-rips-through-the-us.html
China's AI trade is moving from infrastructure to applications. Stocks to watch,2026-01-27,https://www.cnbc.com/2026/01/25/chinas-ai-trade-moves-from-infrastructure-to-applications-stocks-to-watch.html
Warren blasts CFPB director for undermining Trump credit card affordability push,2026-01-27,https://www.cnbc.com/2026/01/23/warren-cfpb-director-letter-undermining-trump-credit-card-affordability.html
"Stocks making the biggest moves midday: Fortinet, Moderna, Intel & more",2026-01-27,https://www.cnbc.com/2026/01/23/stocks-making-the-biggest-moves-midday-ftnt-mrna-intc-bhc.html
There's better way to beat S&P 500 than looking for homerun stocks,2026-01-27,https://www.cnbc.com/2026/01/23/investing-market-stocks-bonds-gold-cash-commodities.html
"Stocks making the biggest moves premarket: Intel, Nvidia, Life360, Capital One & more",2026-01-27,https://www.cnbc.com/2026/01/23/stocks-making-the-biggest-moves-premarket-intc-nvda-slm-cof.html
Wall Street braced for a private credit meltdown. The risk of one is rising,2026-01-27,https://www.cnbc.com/2026/01/23/wall-street-private-credit-risk-rising.html
Nvidia’s Huang to visit China as AI chip sales stall,2026-01-27,https://www.cnbc.com/2026/01/23/nvidia-ceo-jensen-huang-china-visit-chip-sales-restrictions.html
"Stocks making the biggest moves after hours: Intel, Clorox, Capital One and more",2026-01-27,https://www.cnbc.com/2026/01/22/stocks-making-the-biggest-moves-after-hours-intc-clx-cof.html
Capital One is buying startup Brex for $5.15 billion in bank's latest deal,2026-01-27,https://www.cnbc.com/2026/01/22/capital-one-is-buying-startup-brex-for-5point15-billion-in-credit-card-firms-latest-deal.html
"Retail traders kept their recent hot streak going, buying Tuesday’s dip",2026-01-27,https://www.cnbc.com/2026/01/22/retail-traders-dip-buy-trump-greenland.html
Rieder odds rise for Fed chair after Trump calls BlackRock exec 'very impressive',2026-01-27,https://www.cnbc.com/2026/01/22/rieder-odds-rising-for-fed-chair-after-trump-calls-blackrock-executive-very-impressive.html
"Stocks making the biggest moves premarket: P&G, Mobileye, GameStop & more",2026-01-27,https://www.cnbc.com/2026/01/22/stocks-making-the-biggest-moves-premarke-.html
Jamie Dimon issues rare CEO criticism of Trump's immigration policy,2026-01-27,https://www.cnbc.com/2026/01/21/jamie-dimon-trump-immigration-policy.html
"Trump signals he has a favorite for Fed chair: 'Down to maybe one, in my mind'",2026-01-27,https://www.cnbc.com/2026/01/21/trump-signals-he-has-a-favorite-for-fed-chair-down-to-maybe-one-in-my-mind.html
Trump urges Congress to pass 10% credit card interest rate cap; bank stocks rise,2026-01-27,https://www.cnbc.com/2026/01/21/trump-congress-10percent-credit-card-interest-rate-cap.html
"Dimon says U.S. should impose credit card rate cap in Vermont, Massachusetts",2026-01-27,https://www.cnbc.com/2026/01/21/jamie-dimon-trump-credit-card-rate-cap-vermont-massachusetts.html
